,english,korean
0,Life begins at the end of your comfort zone.,인생은 여러분의 편안한 영역의 끝에서 시작됩니다.
1,The most personal is the most creative.,가장 개인적인 것이 가장 창의적이다.
2,Let's embrace the coming year with great hopes.,큰 희망을 가지고 다가오는 한 해를 맞이합시다.
3,Much of what I stumbled into by following my curiosity and intuition turned out to be priceless.,내 호기심과 직관을 따라가면서 내가 우연히 발견한 많은 것들은 값을 매길 수 없는 것으로 밝혀졌다.
4,You can't connect the dots looking forward.,앞을 보고 점을 연결할 수 없습니다.
5,I'm here to just tell you my sincere path.,나는 단지 너에게 나의 진실한 길을 말해주러 여기에 왔어.
6,I'm doing something because I love it and I believe it.,나는 그것을 사랑하고 믿기 때문에 무언가를 하고 있다.
7,I realized I don't know how to be anything but myself.,나는 내 자신 이외에는 아무것도 할 줄 모른다는 것을 깨달았다.
8,quit game,게임을 그만두다
9,attack on sight,눈에 보이는 대로 공격
10,defense stats,방어 통계
11,stargazing card,별을 바라보는 카드
12,continue?,계속?
